101,zach underhill,24,libertarian,680.57,2965,2014-12-02 08:51:59
102,,61,libertarian,304.27,25427,2014-06-15 05:39:32
103,alice nixon,41,republican,230.44,15548,2014-11-28 19:16:21
104,ulysses white,20,democrat,775.13,5634,2014-09-09 08:39:03
105,calvin ellison,30,independent,599.83,4842,2014-05-02 11:23:55
106,holly falkner,27,libertarian,531.79,708,2014-05-23 19:25:31
107,yuri van buren,44,independent,303.3,17330,2014-10-07 02:19:24
108,calvin hernandez,67,democrat,810.04,2373,2014-05-15 06:57:05
109,oscar carson,18,green,410.8,14155,2014-03-22 22:34:28
110,jessica polk,65,libertarian,825.71,19083,2015-02-03 06:54:27
111,jessica nixon,18,democrat,335.09,4541,2014-03-13 19:25:27
112,gabriella brown,21,democrat,534.52,16080,2014-04-26 03:14:13
113,rachel laertes,32,democrat,886.8,24435,2014-09-27 18:55:37
114,luke falkner,29,green,691.54,13116,2014-04-14 03:08:09
115,priscilla quirinius,24,republican,333.47,3753,2014-02-16 06:28:51
116,irene underhill,50,libertarian,979.05,2966,2015-02-12 01:50:56
117,david polk,45,independent,619.54,12649,2014-04-24 03:30:17
118,gabriella hernandez,67,democrat,347.57,2127,2014-11-28 02:15:30
119,sarah thompson,35,republican,26.86,7230,2015-01-23 13:46:00
120,jessica king,35,libertarian,552.07,18569,2014-03-17 09:28:03
121,victor robinson,70,democrat,830.27,5347,2014-11-18 14:02:17
122,victor carson,64,democrat,10.81,19,2014-11-09 00:57:50
123,jessica robinson,32,socialist,989.54,13212,2014-09-14 21:05:58
124,david laertes,59,democrat,152.7,11506,2014-04-16 21:05:54
125,bob quirinius,61,democrat,536.4,13626,2014-08-19 06:24:25
126,ulysses allen,30,green,915.67,3134,2014-10-01 03:46:36
127,quinn young,39,republican,92.5,4129,2014-07-25 10:17:06
128,wendy young,71,democrat,817.76,14949,2014-06-30 18:57:20
129,priscilla brown,63,socialist,277.01,21209,2014-12-04 04:56:31
130,gabriella falkner,76,socialist,327.83,26085,2014-06-21 23:21:48
131,mike thompson,68,independent,630.6,10161,2014-06-22 17:16:28
132,nick nixon,26,socialist,136.63,2076,2014-08-03 07:14:38
133,ethan brown,23,green,949.73,14989,2014-04-28 04:06:13
134,jessica ichabod,53,republican,375.33,18335,2014-12-12 11:16:52
135,sarah ovid,24,green,559.54,1981,2014-07-20 22:47:14
136,priscilla carson,40,socialist,86.55,26705,2014-03-13 05:48:07
137,holly thompson,71,socialist,378.3,12703,2014-02-21 09:25:16
138,ethan thompson,21,democrat,47.08,6866,2014-06-26 23:24:02
139,priscilla underhill,76,libertarian,578.08,28295,2014-02-21 14:40:29
140,oscar king,71,independent,828.6,18083,2014-04-02 22:41:09
141,luke ellison,73,libertarian,16.77,18088,2014-11-07 02:07:06
142,nick miller,41,green,206.27,20735,2014-03-21 02:38:51
143,luke laertes,53,democrat,311.2,809,2015-01-11 15:35:46
144,irene carson,72,democrat,361.09,19366,2015-02-08 19:13:59
145,david falkner,77,independent,700.79,29811,2014-10-05 18:45:02
146,victor miller,72,socialist,931.87,21527,2014-09-13 22:02:19
147,sarah carson,21,democrat,589.42,1660,2014-04-22 07:21:45
148,wendy hernandez,62,independent,752.18,22745,2015-01-29 21:26:13
149,nick garcia,63,libertarian,580.41,16752,2014-09-23 21:49:19
150,yuri ichabod,75,libertarian,935.91,29755,2014-11-23 02:49:27
151,priscilla quirinius,64,republican,777.28,6034,2014-05-04 14:38:59
152,zach johnson,64,republican,967.63,10330,2014-05-17 00:14:45
153,katie ellison,66,green,310.79,18821,2015-01-16 21:22:40
154,bob young,48,green,207.74,21136,2014-07-28 04:43:24
155,alice hernandez,37,libertarian,280.85,5661,2014-05-10 23:54:10
156,bob young,56,green,72.21,18963,2014-07-13 01:39:37
157,priscilla zipper,57,republican,238.81,9377,2014-07-27 18:51:46
158,bob young,28,republican,408.4,8322,2014-10-04 09:49:12
159,holly steinbeck,28,libertarian,759.67,7228,2014-03-16 20:42:16
160,katie steinbeck,33,libertarian,814.75,8918,2015-02-09 23:25:49
161,alice brown,20,libertarian,703.08,22546,2014-09-06 05:15:34
162,nick zipper,76,green,879.01,23156,2014-07-25 14:00:15
163,irene falkner,77,republican,182.71,23342,2014-08-06 19:23:38
164,luke nixon,43,socialist,306.9,1119,2014-09-08 12:12:06
165,jessica underhill,56,republican,663.69,6271,2014-08-22 04:02:04
166,irene ichabod,33,socialist,436.87,21817,2014-06-21 14:29:42
167,david davidson,44,green,700.95,2623,2014-05-27 01:21:00
168,oscar brown,26,socialist,674.94,14928,2014-07-23 15:50:05
169,zach white,47,green,695.35,19736,2014-10-27 12:23:29
170,nick garcia,34,socialist,410.96,324,2014-07-29 06:44:48
171,david allen,40,democrat,361.05,9770,2014-03-09 06:19:22
172,katie young,55,socialist,201.24,28840,2014-03-24 20:16:11
173,quinn hernandez,19,,913.69,12010,2015-01-10 10:38:02
174,jessica underhill,20,independent,616.03,20792,2014-11-22 16:04:09
175,yuri polk,26,democrat,954.86,5963,2014-09-23 20:03:13
176,zach thompson,29,socialist,578.72,9491,2014-09-18 13:56:59
177,oscar ovid,56,libertarian,659.45,17172,2014-10-11 10:13:09
178,zach young,22,democrat,179.78,29562,2014-11-22 10:49:59
179,sarah brown,22,republican,789.06,14888,2014-06-04 08:55:03
180,holly ichabod,54,democrat,476.81,266,2014-11-17 23:52:38
181,mike young,71,independent,738.75,6,2014-04-11 01:44:36
182,alice underhill,24,green,322.67,26871,2014-11-04 06:50:19
183,yuri hernandez,25,socialist,867.04,9815,2015-01-12 10:28:47
184,david thompson,51,independent,661.23,29512,2014-06-09 07:35:10
185,quinn young,58,green,710.35,25400,2014-08-04 12:14:32
186,katie ichabod,21,socialist,342.87,14095,2014-03-21 17:03:37
187,luke ovid,31,democrat,901.86,12679,2014-05-06 23:55:27
188,calvin falkner,45,socialist,422.7,29858,2014-05-24 03:36:38
189,ethan brown,69,socialist,121.48,24032,2015-01-25 12:46:01
190,fred carson,56,independent,181.23,8753,2014-10-25 17:40:08
191,oscar van buren,30,libertarian,724.83,6929,2014-02-16 06:50:01
192,priscilla quirinius,72,democrat,51.17,4480,2014-07-23 17:37:22
193,rachel ellison,74,democrat,724.11,6598,2014-02-18 04:16:42
194,jessica nixon,59,libertarian,31.6,9448,2014-06-17 05:17:14
195,rachel laertes,29,independent,18.32,22002,2014-10-07 05:30:53
196,irene miller,19,libertarian,542.31,3289,2014-05-19 17:44:28
197,victor nixon,26,green,551.93,18918,2015-01-24 10:56:24
198,calvin davidson,53,green,521.91,2730,2014-11-22 00:24:37
199,jessica allen,30,libertarian,884.52,28759,2014-12-21 20:00:04
200,calvin young,59,socialist,641.82,1952,2014-09-23 23:18:49
201,irene thompson,75,democrat,305.81,10538,2014-05-07 05:29:19
202,katie quirinius,44,independent,19.07,1456,2014-06-26 01:42:05
203,calvin hernandez,24,republican,563.52,1938,2014-09-14 19:17:13
204,bob garcia,26,democrat,721.11,9460,2015-01-06 00:39:17
205,luke steinbeck,53,independent,781.54,20157,2014-08-22 04:25:17
206,luke young,59,republican,608.62,19630,2014-08-12 14:27:55
207,luke laertes,37,independent,634.81,17733,2014-10-12 12:46:19
208,victor zipper,74,democrat,834.05,5480,2014-03-14 14:01:47
209,wendy davidson,61,green,78.62,2134,2014-07-31 14:24:19
210,ethan ellison,61,green,265.06,1993,2014-12-14 16:24:25
211,calvin ellison,43,independent,275.29,2018,2014-08-22 02:05:17
212,katie ichabod,32,libertarian,629.89,27170,2014-12-01 11:01:10
213,rachel van buren,69,green,52.52,9635,2014-07-10 08:58:16
214,yuri falkner,49,libertarian,664.08,7600,2014-12-23 02:18:15
215,fred laertes,65,republican,605,17383,2014-08-18 15:26:40
216,zach thompson,40,democrat,591.2,6289,2014-02-16 06:02:02
217,ethan polk,75,republican,915.04,1545,2014-09-13 11:50:48
218,tom ovid,25,libertarian,990.65,15548,2014-04-05 21:21:55
219,sarah davidson,35,democrat,828.67,5162,2015-01-29 20:39:39
220,luke laertes,47,libertarian,328.65,11489,2014-05-20 17:04:15
221,ethan ichabod,32,republican,48.78,12219,2014-10-09 12:06:01
222,gabriella johnson,45,socialist,969.46,27648,2014-08-28 14:48:59
223,gabriella davidson,69,republican,776.46,1945,2014-10-07 15:37:47
224,rachel ellison,65,libertarian,395.59,27477,2014-06-03 17:04:15
225,xavier ichabod,36,independent,981.45,25302,2014-10-21 06:44:33
226,katie van buren,69,green,184.7,7328,2015-02-09 06:02:37
227,holly robinson,32,green,561.65,18695,2014-10-15 22:52:14
228,quinn miller,34,democrat,285.79,2369,2014-05-11 17:50:49
229,oscar ichabod,53,libertarian,64.37,25432,2014-09-09 22:58:45
230,david ellison,31,socialist,565.88,26356,2014-08-15 09:57:15
231,oscar laertes,63,green,406.12,24503,2014-11-23 05:05:29
232,rachel xylophone,23,socialist,946.59,7044,2014-08-30 10:16:32
233,wendy garcia,70,green,717.05,14454,2014-11-30 13:31:59
234,katie carson,37,socialist,694.72,11059,2014-10-09 23:57:41
235,tom ovid,58,green,235.95,16290,2014-06-03 20:32:43
236,bob xylophone,63,republican,277.42,5526,2014-07-05 21:09:08
237,irene johnson,54,democrat,135.65,1928,2014-06-07 21:16:28
238,oscar king,54,independent,335.15,7672,2014-10-10 17:12:22
239,tom garcia,35,green,420.39,20310,2014-11-05 23:57:43
240,oscar ichabod,31,independent,689.97,13526,2015-02-07 16:05:31
241,xavier laertes,52,republican,118.26,3192,2015-01-01 08:57:07
242,alice johnson,25,socialist,304.3,12128,2014-03-08 17:38:40
243,ulysses polk,22,democrat,16.28,1182,2014-05-16 16:43:04
244,gabriella miller,61,republican,881.79,3153,2014-02-15 03:29:30
245,katie davidson,28,libertarian,133.26,22013,2015-01-29 07:28:33
246,tom allen,31,green,487.02,3205,2014-11-15 08:01:04
247,sarah king,71,socialist,88.26,19370,2014-05-02 08:42:24
248,ethan thompson,77,democrat,518.57,15523,2014-04-28 08:36:17
249,tom zipper,20,republican,949.74,8941,2015-01-10 19:37:51
250,ulysses quirinius,33,socialist,449.55,29253,2014-12-17 18:19:57
