251,katie davidson,22,socialist,101.89,18518,2014-06-14 08:20:00
252,gabriella allen,27,republican,533.6,9469,2014-06-28 16:09:47
253,ulysses davidson,48,socialist,59.88,20923,2014-11-21 19:10:18
254,xavier polk,59,republican,730.37,27927,2015-01-13 22:21:04
255,quinn underhill,58,socialist,32.06,29880,2014-11-22 12:42:35
256,quinn robinson,60,green,233.9,23926,2014-08-28 02:53:15
257,sarah underhill,23,democrat,753.01,2384,2014-06-28 12:07:08
258,quinn johnson,19,republican,476.81,15324,2014-03-11 12:06:30
259,mike xylophone,47,republican,693.73,12173,2014-05-14 02:14:36
260,fred king,71,republican,352.93,3678,2014-11-07 03:09:05
261,ulysses laertes,58,socialist,50.06,3093,2014-05-16 16:06:39
262,oscar laertes,43,independent,655.62,5704,2014-04-14 06:09:20
263,fred xylophone,48,democrat,884.53,1650,2014-10-18 23:22:46
264,fred steinbeck,59,democrat,608.71,23108,
265,calvin quirinius,28,socialist,773.91,23402,2014-02-13 17:32:33
266,jessica van buren,73,libertarian,594.14,15606,2014-06-11 01:56:52
267,priscilla carson,30,socialist,231.08,28914,2015-01-21 01:34:48
268,tom polk,49,socialist,213.83,356,2015-01-29 12:25:05
269,ulysses steinbeck,32,democrat,818.03,3141,2014-05-24 23:47:31
270,zach robinson,74,democrat,105.7,16570,2014-03-31 21:36:17
271,mike van buren,40,republican,150.84,16081,2014-06-14 19:10:57
272,quinn ovid,51,socialist,140.28,14886,2014-04-18 10:53:00
273,rachel ichabod,29,independent,179.84,6413,2014-12-17 20:16:12
274,victor brown,65,republican,918.65,8930,2014-07-03 15:31:06
275,irene nixon,54,socialist,81.06,20232,2014-08-18 15:21:44
276,rachel allen,51,green,767.3,14806,2014-09-07 16:38:29
277,katie robinson,46,libertarian,549.7,20795,2014-06-02 12:42:02
278,priscilla quirinius,42,green,563.05,25148,2014-10-10 09:31:02
279,ulysses ichabod,35,democrat,84,16826,2014-09-01 06:02:11
280,david zipper,51,independent,834.26,26542,2014-12-21 21:08:14
281,wendy xylophone,45,independent,188.02,26069,2015-01-15 05:35:38
282,mike davidson,56,democrat,272.38,5077,2014-10-14 11:22:47
283,wendy allen,49,independent,114.66,29714,2015-01-29 04:27:40
284,ethan ovid,22,libertarian,383.46,18434,2014-11-08 08:24:11
285,mike quirinius,25,independent,484.87,14486,2014-05-13 14:12:50
286,jessica steinbeck,66,independent,829.75,27145,2014-07-13 15:28:47
287,quinn ellison,64,libertarian,632.46,22709,2014-05-06 00:59:41
288,tom zipper,35,green,608.94,1678,2014-08-18 08:49:09
289,bob king,76,democrat,975.71,1802,2014-04-14 03:34:34
290,jessica falkner,31,libertarian,628.68,18988,2014-10-20 05:34:07
291,calvin underhill,36,republican,852.95,1303,2014-11-10 21:48:16
292,irene ichabod,64,democrat,227.89,16665,2014-10-11 22:16:50
293,luke polk,75,democrat,685.86,15841,2014-02-26 22:34:40
294,calvin garcia,20,libertarian,528.4,28325,2014-10-18 17:44:55
295,katie robinson,53,socialist,768.27,2034,2014-04-22 20:11:35
296,xavier king,76,republican,159.84,10212,2014-11-20 14:39:28
297,mike ellison,28,green,493.69,7193,2015-01-29 00:50:54
298,wendy king,23,green,361.76,29981,2014-02-22 04:22:57
299,gabriella garcia,43,democrat,117,11291,2014-04-18 01:58:54
300,bob miller,18,republican,936.88,29461,2014-09-17 06:15:15
301,xavier zipper,36,republican,738.47,14796,2014-05-11 01:15:14
302,victor laertes,56,libertarian,200.87,27888,2014-07-15 08:05:42
303,oscar johnson,27,libertarian,754.65,4855,2014-05-24 05:31:07
304,katie laertes,53,green,374.31,21289,2014-04-29 07:14:28
305,mike allen,53,socialist,553.84,27635,2015-01-24 03:17:43
306,david ovid,60,libertarian,701.6,11632,2014-06-25 07:29:43
307,luke quirinius,44,libertarian,365.08,24401,2014-11-12 17:09:34
308,alice king,27,libertarian,606.44,1954,2014-09-30 09:17:19
309,holly ichabod,42,independent,381.53,22554,2014-07-26 17:19:31
310,gabriella laertes,28,democrat,32.42,5642,2014-08-01 16:20:05
311,katie miller,73,libertarian,161.28,17330,2014-06-20 10:30:00
312,holly miller,76,green,636.19,20413,2014-08-18 14:27:38
