451,mike ellison,35,libertarian,592.25,28397,2014-02-22 04:40:57
452,oscar polk,62,socialist,248.62,17320,2014-12-18 07:01:51
453,bob white,21,independent,273.77,12654,2014-04-29 18:35:55
454,mike ichabod,44,socialist,350.57,24956,2014-10-19 16:44:55
455,fred ovid,68,democrat,407.28,813,2014-07-28 23:48:49
456,rachel garcia,62,democrat,182.77,24489,2014-02-17 05:03:23
457,quinn steinbeck,35,green,417.57,349,2014-06-11 20:24:28
458,ulysses van buren,45,green,17.64,131,2014-03-02 09:52:01
459,mike young,44,democrat,415.03,3143,2014-11-24 19:17:09
460,fred quirinius,24,libertarian,137.86,13017,2014-05-01 12:30:36
461,gabriella ichabod,66,socialist,395.59,15981,2014-05-13 03:39:59
462,mike carson,49,socialist,54.47,18100,2014-05-07 17:41:40
463,irene young,20,independent,355.58,24375,2014-03-22 23:58:54
464,quinn polk,28,republican,460.79,7618,2014-10-22 08:13:54
465,oscar laertes,38,republican,586.39,3971,2014-08-10 15:15:38
466,alice thompson,29,socialist,420.78,3017,2014-04-18 09:26:10
467,alice xylophone,56,libertarian,189.03,23080,2014-06-28 09:00:40
468,alice miller,39,independent,-809.59,3845,2014-09-04 04:06:31
469,victor king,74,libertarian,594.43,25220,2014-06-02 10:35:35
470,ulysses ichabod,41,republican,124.53,1693,2015-02-10 09:29:23
471,xavier king,55,socialist,932.32,11678,2014-11-04 04:19:34
472,tom davidson,75,republican,79.26,13391,2014-07-08 06:51:17
473,jessica ellison,75,independent,160.84,5479,2014-12-23 16:22:45
474,holly falkner,27,democrat,982.47,27904,2014-06-22 00:08:54
475,priscilla king,30,libertarian,258.54,27107,2014-04-25 01:08:37
476,rachel falkner,65,republican,616.69,14583,2014-09-02 00:50:58
477,xavier allen,34,libertarian,661.28,16411,2014-10-05 20:49:16
478,nick carson,,independent,991.67,4610,2014-09-11 20:06:05
479,mike ovid,18,socialist,774.82,19296,2014-06-09 07:19:58
480,ethan hernandez,67,socialist,0.4,6641,2014-08-26 00:05:40
481,quinn carson,37,green,449.19,12464,2014-12-20 19:52:53
482,xavier allen,28,republican,191.64,20231,2014-12-22 17:17:39
483,irene xylophone,59,democrat,8.93,17399,2014-05-25 04:23:57
484,ulysses garcia,62,libertarian,860.89,15908,2014-09-23 00:17:10
485,alice laertes,41,republican,901.31,9246,2014-06-26 20:58:05
486,alice quirinius,57,republican,706.1,27450,2014-09-17 03:51:32
487,holly young,39,libertarian,467.98,27729,2014-06-03 19:31:09
488,victor robinson,28,socialist,886.29,4711,2015-01-04 07:01:06
489,wendy laertes,73,republican,339.83,11888,2014-05-05 07:39:02
490,irene xylophone,77,socialist,431.99,13104,2014-12-23 04:23:26
491,alice ellison,24,independent,684.07,6566,2014-06-07 03:30:23
492,katie young,60,green,295.72,8779,2014-03-13 05:10:14
493,mike miller,44,independent,41.42,5075,2014-09-29 13:53:36
494,priscilla hernandez,39,democrat,590.32,15640,2014-07-28 03:51:07
495,luke polk,53,socialist,932.48,25558,2014-04-28 21:09:11
496,wendy white,50,socialist,669.38,7211,2014-07-04 08:48:48
497,ulysses miller,22,green,298.66,9863,2014-05-20 18:55:03
498,xavier ichabod,21,independent,69.12,12372,2014-07-13 02:13:28
499,nick quirinius,70,green,297.27,7334,2014-10-17 23:49:55
500,rachel davidson,47,green,99.34,9888,2014-06-21 06:54:59
501,xavier robinson,34,democrat,972.58,6198,2014-07-30 03:31:19
502,priscilla robinson,29,independent,173.64,2279,2014-05-16 17:13:45
503,jessica brown,41,independent,966.89,4114,2014-11-22 11:36:22
504,quinn carson,54,independent,169.05,919,2014-08-08 21:30:00
505,mike zipper,72,socialist,167.88,14139,2014-12-16 17:10:57
506,xavier davidson,21,independent,51.82,1479,2015-01-02 00:50:57
507,alice ichabod,41,green,69.43,12603,2014-07-06 13:36:47
508,gabriella nixon,72,democrat,282.39,3215,2014-11-30 16:32:54
509,gabriella carson,22,libertarian,573,21176,2014-09-15 14:22:59
510,oscar white,41,republican,685.67,7661,2014-09-18 04:05:16
511,bob thompson,38,independent,2.65,24271,2014-08-19 19:43:20
512,luke allen,74,libertarian,344.31,18627,2014-05-26 20:14:27
513,xavier laertes,68,republican,637.61,17788,2015-01-08 20:34:07
514,ethan ovid,32,democrat,929.51,16746,2014-09-15 04:42:41
515,quinn carson,44,democrat,77.87,11240,2014-08-05 02:06:53
516,ulysses ovid,60,republican,745.49,20223,2015-01-17 19:17:00
517,xavier ichabod,27,democrat,108.34,28371,2014-07-19 05:11:56
518,irene garcia,28,libertarian,635.93,9856,2014-05-22 09:13:47
519,rachel ichabod,65,socialist,380.29,14443,2014-06-12 11:35:43
520,tom thompson,59,republican,22.33,28202,2014-11-27 01:03:04
521,jessica king,63,socialist,511.17,20044,2014-06-09 20:19:43
522,irene zipper,57,green,438.47,11244,2014-04-05 10:53:47
523,sarah miller,45,libertarian,49.58,2444,2014-03-02 03:18:33
524,rachel thompson,33,independent,451.26,8748,2014-05-01 04:50:06
525,jessica falkner,21,independent,954.93,27465,2014-05-23 22:46:02
526,victor hernandez,28,libertarian,257.17,8296,2014-09-03 13:07:54
527,yuri underhill,74,green,705.51,16411,2014-10-02 19:40:01
528,jessica hernandez,53,green,192.77,5674,2014-08-10 08:55:20
529,xavier underhill,54,republican,135.26,7792,2014-06-21 13:22:21
530,xavier hernandez,34,green,58.99,12930,2014-04-06 20:49:46
531,priscilla garcia,20,green,482.35,9053,2014-08-08 22:25:46
532,alice miller,55,libertarian,425.89,28099,2014-07-11 07:59:36
533,bob polk,57,libertarian,642.11,16158,2014-06-13 05:45:31
534,priscilla garcia,23,democrat,839.53,29752,2014-06-06 22:03:37
535,xavier steinbeck,44,democrat,93.84,13070,2014-06-23 09:04:13
536,zach miller,30,socialist,207.64,13620,2014-03-19 19:04:13
537,alice falkner,70,independent,616.05,8668,2014-04-24 20:19:52
538,mike brown,71,republican,195.95,10211,2014-02-23 00:34:43
539,wendy nixon,77,socialist,527.51,7627,2014-02-23 23:01:08
540,bob hernandez,75,socialist,554.78,25426,2014-07-12 06:59:07
541,calvin garcia,30,republican,459.93,6792,2014-11-25 07:56:41
542,nick robinson,64,republican,233.04,23641,2014-09-04 23:20:07
543,tom underhill,32,republican,362.26,9689,2014-04-07 17:39:47
544,jessica carson,31,green,476.58,23650,2015-01-05 10:13:45
545,luke ovid,41,independent,692.38,4261,2014-06-22 02:47:42
546,tom young,49,green,885.04,25586,2014-09-30 02:14:52
547,luke white,35,socialist,317.72,672,2014-08-29 08:51:57
548,sarah thompson,24,democrat,387.44,15889,2014-04-23 02:33:46
549,alice thompson,48,libertarian,128.04,25119,2014-09-22 10:46:00
550,gabriella young,27,green,45.7,21059,2014-04-26 10:19:38
551,alice johnson,64,democrat,476.63,27807,2014-08-18 19:12:18
552,katie carson,35,socialist,497.45,9264,2015-02-12 23:36:12
553,tom davidson,31,democrat,387.02,9380,2014-07-18 12:01:32
554,xavier carson,35,republican,177.03,5549,2014-12-26 18:46:14
555,quinn white,48,libertarian,673.54,13849,2014-08-30 04:28:19
556,quinn hernandez,24,republican,,26664,2014-08-02 06:44:18
557,ulysses miller,42,green,272.13,10944,2014-04-22 08:02:12
558,calvin xylophone,53,independent,314.53,9457,2014-09-17 18:51:15
559,rachel thompson,47,democrat,813.28,8346,2014-12-22 12:39:18
560,jessica hernandez,49,socialist,311.99,2893,2014-08-16 18:18:21
561,quinn robinson,64,green,807.23,870,2014-03-08 16:33:56
562,holly ellison,20,libertarian,602.42,2402,2014-04-01 14:44:22
563,mike ichabod,43,republican,372.29,18523,2014-05-16 23:28:51
564,sarah garcia,69,socialist,543.74,12329,2014-07-28 22:31:14
565,sarah davidson,58,democrat,703.87,27859,2014-03-12 06:58:04
566,yuri ovid,69,democrat,676.9,2388,2014-05-20 20:12:43
567,yuri ovid,43,libertarian,43.53,18058,2014-02-25 02:34:35
568,calvin davidson,71,republican,726.44,28395,2014-05-31 09:48:34
569,yuri johnson,36,green,715.59,16957,2014-08-31 03:49:12
570,ulysses steinbeck,53,independent,368.87,21153,2014-06-20 04:44:36
571,victor ichabod,21,republican,412.81,27499,2014-03-29 16:44:22
572,tom hernandez,36,libertarian,704.35,16672,2014-04-28 02:58:08
573,yuri garcia,56,socialist,750.45,26809,2014-07-28 07:36:02
574,katie steinbeck,53,libertarian,319.58,11221,2014-09-07 18:09:51
575,katie falkner,39,libertarian,699.61,20891,2014-10-16 22:09:11
576,katie brown,21,green,886.97,7798,2014-03-28 08:08:02
577,fred falkner,35,independent,742.29,5588,2014-06-09 02:49:05
578,gabriella ichabod,71,socialist,193.59,22148,2014-09-04 06:00:25
579,sarah underhill,49,libertarian,959.79,19304,2014-04-03 10:27:16
580,victor ellison,53,green,853.46,23444,2014-11-07 07:20:11
581,sarah white,32,libertarian,129.82,5705,2015-01-24 01:06:26
582,quinn zipper,73,republican,232.71,23239,2014-06-13 21:47:05
583,tom polk,54,green,730.74,13394,2014-07-04 01:20:19
584,priscilla polk,27,republican,49.74,18589,2014-07-25 17:12:27
585,rachel falkner,60,independent,359.9,27753,2014-07-23 16:00:43
586,nick van buren,60,libertarian,923.3,7630,2014-11-06 05:57:09
587,oscar underhill,22,democrat,901.09,13861,2014-08-05 04:08:54
588,xavier allen,36,green,790.65,26123,2014-07-17 04:01:06
589,tom ellison,47,democrat,117.8,4822,2014-07-14 22:19:20
590,irene robinson,70,libertarian,546.13,8055,2014-09-30 17:07:37
591,irene laertes,50,green,607.69,10752,2014-03-02 18:10:23
592,oscar steinbeck,18,republican,635.47,25325,2014-06-27 08:02:07
593,zach xylophone,73,independent,991.75,19252,2014-08-20 13:05:55
594,gabriella ellison,59,libertarian,343.78,7844,2015-01-23 13:38:27
595,oscar hernandez,33,republican,201.84,29907,2014-02-15 01:54:12
596,gabriella thompson,64,green,530.77,14204,2015-01-17 04:29:05
597,bob van buren,38,green,3.04,15192,2014-06-14 15:15:34
598,jessica laertes,36,green,975.4,11727,2014-08-05 06:16:39
599,oscar laertes,50,green,784.73,7549,2014-07-18 03:19:07
600,rachel ovid,34,libertarian,908.26,16862,2014-12-31 16:00:41
601,alice white,57,independent,875.06,1910,2014-03-22 09:30:18
602,yuri garcia,56,socialist,831.63,29907,2014-08-30 22:51:57
603,rachel carson,47,green,488.81,22007,2014-11-26 14:38:07
604,xavier thompson,63,socialist,187.98,1061,2014-03-18 09:19:15
605,bob johnson,46,libertarian,76.02,4736,2014-02-26 18:14:53
606,nick miller,75,socialist,654.83,15516,2014-02-21 06:25:15
607,bob xylophone,69,socialist,577.35,14872,2014-11-27 08:22:51
608,wendy laertes,75,independent,868.72,17997,2014-10-24 16:55:12
609,gabriella king,50,independent,549.78,22679,2014-03-28 18:18:18
610,yuri white,63,independent,750.46,10051,2014-12-14 00:01:00
611,oscar falkner,18,independent,548.64,22520,2015-01-24 11:54:45
612,katie falkner,42,democrat,587.79,15933,2014-06-16 22:57:36
613,rachel steinbeck,60,independent,648.06,4352,2014-03-09 19:43:41
614,alice zipper,54,libertarian,884.93,23684,2014-03-18 12:07:37
615,oscar falkner,43,libertarian,764.39,12849,2014-10-10 17:35:55
616,irene johnson,24,libertarian,200.99,21792,2014-12-03 22:52:04
617,jessica laertes,20,green,94.38,6636,2015-01-04 22:59:11
618,sarah zipper,61,socialist,743.86,27453,2015-01-11 05:38:12
619,alice quirinius,24,republican,673.53,1360,2014-07-06 19:05:51
620,bob falkner,72,republican,71.63,20051,2014-04-17 03:38:14
621,luke white,61,independent,846.63,23685,2014-05-08 00:37:07
622,ethan underhill,35,independent,571.44,12251,2014-02-27 09:08:57
623,alice underhill,73,republican,473.21,25224,2014-07-14 20:00:06
624,priscilla ellison,43,libertarian,363.65,16397,2015-02-04 04:35:39
625,victor polk,51,libertarian,479.61,17341,2015-01-02 13:37:11
626,oscar xylophone,37,independent,327.49,25276,2014-12-05 00:56:59
627,jessica steinbeck,41,republican,38.03,13911,2014-04-25 09:21:02
628,david nixon,44,green,209.08,14459,2014-08-26 03:33:21
629,quinn zipper,48,libertarian,182.85,23810,2014-10-28 12:34:50
630,oscar thompson,49,libertarian,383.58,8126,2015-02-02 19:35:54
631,holly ovid,46,socialist,156.48,20074,2014-06-15 17:08:44
632,quinn nixon,45,libertarian,164.39,17635,2014-07-07 06:18:47
633,alice hernandez,48,socialist,661.29,15525,2014-03-19 16:37:44
634,alice xylophone,60,libertarian,432.63,2116,2014-10-07 11:26:27
635,quinn van buren,19,socialist,540.47,14945,2015-01-01 18:18:44
636,irene falkner,46,democrat,382.36,14572,2014-02-18 01:12:16
637,zach davidson,60,libertarian,137.38,1554,2015-01-03 19:22:10
638,sarah garcia,46,libertarian,908.58,5525,2015-01-21 00:26:10
639,wendy young,53,socialist,719.16,8262,2014-08-25 20:03:36
640,gabriella garcia,47,independent,408.17,26153,2014-12-05 05:26:22
641,wendy carson,32,green,283.35,14598,2014-05-23 00:29:48
642,jessica nixon,44,independent,803.64,24497,2014-09-27 14:54:57
643,zach laertes,47,democrat,792.68,13891,2014-11-19 12:01:47
644,david zipper,24,republican,458.14,23996,2014-03-03 09:12:58
645,xavier nixon,59,socialist,260.78,7679,2014-02-25 10:52:45
646,holly laertes,66,green,330.02,4088,2014-06-12 01:48:32
647,tom falkner,57,socialist,104.33,28741,2014-07-22 16:02:59
648,fred miller,24,democrat,458.78,15429,2014-08-14 18:15:19
649,gabriella laertes,24,libertarian,112.06,8943,2014-12-28 12:22:54
650,xavier quirinius,33,republican,401.49,18586,2014-12-12 15:17:09
651,alice steinbeck,43,independent,191.5,24315,2015-01-10 17:58:40
652,quinn zipper,44,libertarian,11.35,27656,2014-08-21 21:07:11
653,david polk,29,democrat,534.49,18659,2015-02-13 18:21:26
654,fred underhill,63,independent,407.2,10614,2015-01-12 14:49:34
655,nick ichabod,59,republican,896.31,17296,2014-10-27 09:30:38
656,sarah nixon,32,independent,803.66,4411,2014-11-04 15:46:44
657,irene ichabod,45,independent,572.65,18477,2014-11-03 21:46:08
658,bob davidson,70,republican,215.82,26801,2014-09-07 07:39:11
659,zach laertes,29,democrat,255.77,17954,2014-10-06 20:46:17
660,mike robinson,71,libertarian,815.95,1782,2014-07-07 06:46:40
661,mike ellison,51,libertarian,988.3,9268,2014-09-10 18:40:08
662,jessica ovid,30,democrat,782.98,3821,2014-03-06 23:57:20
