701,david laertes,72,republican,564.22,692,2014-12-08 20:30:58
702,ulysses johnson,64,republican,21.14,15171,2014-09-10 00:25:57
703,sarah falkner,63,green,910.87,8327,2014-06-23 02:40:53
704,jessica davidson,19,republican,658.87,16298,2014-10-07 03:10:15
705,luke young,49,green,617.98,28143,2014-12-12 03:45:00
706,sarah garcia,28,republican,461.18,24480,2014-03-21 17:17:58
707,ethan laertes,77,libertarian,752.62,7340,2014-06-18 01:47:38
708,ethan ichabod,74,democrat,220.34,10384,2015-01-18 20:16:51
709,tom king,25,democrat,122.37,25630,2014-07-27 15:27:40
710,wendy falkner,49,republican,352.14,21950,2015-01-23 18:04:24
711,priscilla ovid,51,green,625.57,6365,2014-12-05 14:36:42
712,rachel carson,46,libertarian,216.45,23604,2014-05-08 10:06:44
713,jessica brown,54,republican,628.2,12101,2015-01-23 06:36:18
714,bob white,33,democrat,941.83,11024,2014-06-08 01:56:55
715,rachel davidson,68,democrat,-291.52,26180,2014-08-06 07:51:51
716,alice ichabod,63,libertarian,52.47,16456,2014-11-16 10:41:48
717,mike underhill,59,green,393.67,24185,2014-09-12 22:23:00
718,priscilla allen,66,libertarian,682.47,25747,2014-10-14 13:10:57
719,zach brown,54,democrat,36.75,8914,2014-10-08 01:36:58
720,fred zipper,61,independent,418.98,8731,2014-11-12 05:52:17
721,katie garcia,75,socialist,471.8,8650,2014-11-16 11:05:02
722,fred davidson,45,socialist,501.33,26182,2014-12-14 02:17:22
723,bob brown,51,green,478.49,22872,2014-06-25 21:35:41
724,nick ovid,30,republican,615.53,7650,2015-01-12 08:32:42
725,alice van buren,71,republican,537.22,13724,2014-08-14 04:42:19
726,david king,34,socialist,240.46,2256,2014-09-18 18:27:34
727,fred brown,23,republican,767.73,5261,2014-11-20 08:50:16
728,irene brown,64,socialist,39.23,2605,2015-01-05 18:11:53
729,nick robinson,63,socialist,982.33,10171,2014-03-20 15:36:12
730,luke carson,29,republican,244.72,17907,2014-11-15 10:11:11
731,ethan ellison,50,socialist,521.38,2771,2014-08-15 22:31:19
732,ulysses polk,34,democrat,194.93,25103,2014-10-30 14:30:16
733,quinn robinson,35,green,973.58,24910,2015-01-31 14:20:27
734,katie quirinius,18,green,949.51,4090,2014-06-09 06:30:34
735,katie thompson,52,socialist,712.3,13237,2014-02-20 15:32:26
736,sarah young,61,republican,315.15,9379,2014-08-10 01:50:38
737,gabriella ovid,46,libertarian,38.64,22201,2014-11-05 10:31:03
738,sarah xylophone,41,democrat,160.04,13680,2014-08-03 23:39:59
739,ethan robinson,53,green,859.78,256,2014-05-28 21:26:06
740,zach quirinius,56,green,877.93,8743,2014-08-31 20:43:03
741,katie ellison,51,republican,353.99,9927,2014-12-19 23:02:03
742,bob zipper,52,republican,524.2,23609,2014-11-30 21:55:39
743,irene xylophone,56,libertarian,196.48,16545,2014-07-28 22:39:53
744,irene young,67,green,980,15204,2014-10-05 22:25:11
745,rachel carson,22,independent,219.55,11372,2015-01-21 17:35:23
746,katie polk,50,green,478.66,29667,2014-11-20 08:44:07
747,wendy robinson,72,socialist,39.07,1102,2014-09-22 15:12:07
748,rachel ichabod,35,independent,660.08,25172,2014-05-18 00:39:33
749,mike falkner,24,socialist,243.35,6014,2014-07-10 12:09:31
750,oscar davidson,28,socialist,695.51,7335,2014-09-29 04:07:22
751,rachel van buren,73,democrat,360.76,29760,2014-10-28 16:32:48
752,david thompson,31,independent,873.77,22103,2014-10-28 05:25:17
753,calvin xylophone,59,republican,514.09,26351,2014-12-16 04:52:35
754,calvin white,20,libertarian,772.26,17737,2014-08-19 19:00:30
755,irene ichabod,60,democrat,552.98,8629,2014-04-15 01:16:41
756,gabriella underhill,20,independent,896.62,17859,2014-07-29 22:37:48
