1,nick miller,68,green,717.12,13809,2014-05-25 03:41:54
2,ulysses white,48,green,840.06,19451,2014-07-30 08:03:11
3,holly garcia,18,democrat,128.2,8750,2014-09-15 02:33:11
4,victor thompson,61,independent,721.6,20462,2014-06-17 13:04:09
5,luke allen,39,socialist,800.22,25151,2015-02-01 02:02:37
6,luke garcia,41,democrat,10.07,12494,2014-08-16 13:11:12
7,sarah garcia,70,republican,416.17,29187,2014-07-13 00:57:20
8,luke davidson,30,libertarian,110.93,16493,2014-04-19 04:16:01
9,xavier white,47,independent,951.05,7300,2014-05-27 01:56:43
10,tom underhill,75,socialist,525.33,18592,2015-01-24 07:27:05
11,,58,republican,578.08,16161,2014-08-27 06:35:33
12,xavier carson,50,green,861.79,12703,2014-08-14 00:43:50
13,jessica underhill,76,libertarian,754.77,20865,2014-02-15 15:20:11
14,calvin johnson,63,independent,492.71,6697,2014-11-10 19:34:49
15,IRENE DavidSON,64,republican,777.23,2462,2014-05-08 12:45:19
16,sarah miller,32,libertarian,870.81,8607,2014-09-18 14:22:55
17,alice garcia,,republican,468.51,18555,2014-06-04 06:49:06
18,ethan falkner,73,libertarian,446.74,16424,2014-09-07 09:39:47
19,wendy ovid,74,socialist,190.25,25949,2014-05-09 17:45:02
20,  jessica xylophone    ,56,independent,412.64,28952,2014-07-22 15:24:31
21,victor young,59,democrat,766.65,29357,2014-06-21 21:39:01
22,gabriella falkner,19,socialist,16.25,27833,2014-09-30 17:05:57
23,alice ichabod,35,democrat,27.63,19180,2014-04-13 15:06:36
24,bob thompson,67,democrat,61.22,21131,2014-03-23 01:24:20
25,alice brown,26,green,713.95,24251,2014-03-24 07:03:16
26,ethan underhill,71,libertarian,29.94,9034,2014-07-20 05:41:55
27,calvin garcia,24,republican,249.75,4208,2014-04-27 03:33:29
28,quinn zipper,25,republican,368.63,26518,2014-02-27 20:02:04
29,oscar quirinius,48,green,47.91,13595,2014-12-09 13:07:54
30,xavier hernandez,74,independent,177.62,8768,2014-11-18 03:17:01
31,quinn ichabod,22,democrat,347.82,5642,2014-04-04 17:47:56
32,ulysses falkner,44,independent,405.02,22249,2014-03-20 06:38:48
33,holly brown,64,republican,231.81,23550,2014-03-11 08:51:32
34,irene garcia,36,democrat,685.01,609,2014-03-28 04:33:55
35,oscar underhill,54,green,172.87,8671,2014-07-22 12:55:53
36,rachel underhill,42,democrat,963.61,24622,2014-10-11 20:12:34
37,,75,independent,838.47,26404,2014-07-08 19:08:14
38,fred underhill,66,democrat,769.29,2683,2015-02-04 21:17:20
39,david miller,26,green,629.2,27701,2014-04-16 02:37:33
40,jessica xylophone,56,socialist,403.75,22759,2014-12-10 20:05:42
41,irene ovid,21,democrat,642.06,7564,2014-07-17 15:17:47
42,jessica underhill,22,independent,921.13,1974,2014-10-31 18:32:23
43,gabriella laertes,71,democrat,100.53,25487,2014-05-20 19:24:36
44,ulysses zipper,69,socialist,742.43,1407,2014-08-29 20:46:56
45,ulysses carson,29,republican,331.68,20048,2014-06-07 02:43:23
46,irene nixon,55,republican,305.77,5139,2014-05-12 19:40:54
47,david falkner,21,republican,747.41,22212,2014-04-03 03:57:57
48,sarah van buren,69,libertarian,711.32,14859,2014-07-13 08:30:12
49,fred laertes,57,democrat,14.91,25870,2014-12-05 04:32:52
50,yuri underhill,73,democrat,791.76,28536,2014-04-26 13:04:20
51,wendy ichabod,58,democrat,303.77,8845,2014-03-24 13:03:53
52,tom xylophone,63,republican,71.57,9837,2014-10-27 23:46:41
53,luke davidson,44,independent,653.54,2415,2014-08-04 00:55:45
54,tom brown,64,green,300.44,8696,2014-09-16 06:58:06
55,katie nixon,28,socialist,708.6,19282,2015-01-19 00:38:15
56,calvin quirinius,27,republican,522.54,3909,2014-12-30 02:19:30
57,katie robinson,19,republican,265.9,11041,2014-06-07 13:06:30
58,nick nixon,54,socialist,322.46,10811,2014-04-20 07:47:24
59,alice laertes,18,green,835.31,11276,2014-02-17 11:45:50
60,ulysses hernandez,20,independent,53.19,7506,2014-04-04 10:59:12
61,nick carson,62,libertarian,141.37,24525,2014-09-14 09:56:10
62,gabriella johnson,60,green,570.01,27018,2014-11-30 11:10:21
63,holly robinson,72,democrat,727.08,26973,2014-07-26 01:36:25
64,yuri falkner,67,green,566.57,21931,2014-04-04 01:13:55
65,yuri falkner,69,republican,442.42,19691,2014-02-25 10:08:03
66,victor robinson,40,libertarian,823.83,18199,2014-10-02 14:23:50
67,calvin allen,23,democrat,110.52,8,2014-06-18 01:14:54
68,david davidson,38,democrat,57.78,12909,2014-03-07 11:59:00
69,jessica davidson,26,independent,418.41,1596,2014-05-12 06:33:32
70,jessica underhill,18,republican,94.03,12853,2014-12-24 23:21:31
71,gabriella quirinius,65,democrat,543.07,17516,2014-10-23 23:02:25
72,quinn zipper,23,green,544.91,19152,2015-02-10 10:39:11
73,alice hernandez,66,republican,22.64,25984,2014-10-28 21:47:39
74,rachel garcia,27,republican,241.86,4161,2014-07-01 03:05:30
75,calvin zipper,70,libertarian,351.51,12208,2014-07-05 12:43:43
76,nick nixon,32,socialist,340.06,8203,2014-03-06 22:17:55
77,priscilla xylophone,59,democrat,10.03,7373,2014-06-05 12:26:38
78,zach garcia,33,green,206.64,21826,2014-05-18 03:04:51
79,david zipper,52,socialist,539.02,11670,2014-07-03 05:44:46
80,rachel carson,46,green,103.96,17375,2014-11-20 04:57:27
81,rachel white,67,green,598.2,1106,2014-11-28 01:36:54
82,david king,42,republican,,28473,2014-06-17 17:27:15
83,alice ichabod,72,democrat,77.96,19473,2014-09-24 06:29:12
84,calvin quirinius,71,socialist,453.07,6010,2014-12-17 02:54:58
85,nick robinson,19,green,497.94,8981,2014-12-27 22:42:57
86,yuri king,21,socialist,148.08,21446,2014-11-25 17:18:14
87,oscar laertes,73,republican,463.27,25307,2014-08-21 06:03:12
88,david robinson,49,republican,681.81,16469,2014-07-11 18:38:01
89,nick quirinius,28,democrat,561.47,29664,2014-09-21 12:27:26
90,holly hernandez,37,green,621.44,29714,2014-04-10 04:35:06
91,ethan robinson,61,libertarian,-78.17,19412,2014-12-04 14:13:40
92,irene steinbeck,,democrat,425.26,15290,2014-08-29 21:13:25
93,ethan quirinius,28,democrat,458.42,26993,2014-12-06 08:42:59
94,sarah underhill,24,libertarian,253.18,12237,2014-08-02 00:25:59
95,priscilla robinson,40,republican,819.47,9833,2014-11-08 09:41:38
96,irene johnson,71,libertarian,819.32,22764,2014-09-19 22:59:32
97,tom nixon,71,socialist,668.67,11492,2014-11-19 19:53:33
98,victor van buren,43,libertarian,125.62,28654,2014-09-08 04:36:03
99,holly robinson,21,independent,543.99,9685,2014-12-28 05:41:41
100,sarah johnson,38,independent,915.35,8829,2014-07-26 00:59:49
